,Unnamed: 0,ID,OTAZKA,PEDAGOG,HODNOTA_CLOB_OCISTENO,LANG,token,lemma,pos,DetectSentiment,SENTIMENT,lemma_cleaned,token_cleaned,pos_cleaned
11,11,5180,3,,praktické,['Unknown'],['practical'],['practical'],['ADJ'],na'],Positive,practical,practical,ADJ
12,12,6048,23,,"Na problematiku databází, jsem narazil i jiných předmětech, ale rozhodně se nejedná o minus.",['cs'],"[""I've"" 'run' 'into' 'other' 'subjects' 'on' 'the' 'issue' 'of'
 'databases' ',' 'but' ""it's"" 'definitely' 'not' 'a' 'minus' '.']","['run' 'subject' 'issue' 'database' ',' 'minus' '.']","['ADJ' 'VERB' 'ADP' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'PUNCT'
 'CCONJ' 'PRON' 'ADV' 'ADV' 'DET' 'NOUN' 'PUNCT']",positive,Neutral,"run subject issue database , minus .","Ive"" run into other subjects on the issue of
 databases , but ""its"" definitely not a minus .","ADJ VERB ADP ADJ NOUN ADP DET NOUN ADP NOUN PUNCT
 CCONJ PRON ADV ADV DET NOUN PUNCT"
13,13,9986,23,,"programování v Javě (předcházející předmět)
databáze - diagramy",['cs'],"['programming' 'in' 'Java' '(' 'previous' 'subject' ')' 'database' '-'
 'diagrams']",['program' 'Java' '(' 'previous' 'subject' ')' 'database' '-' 'diagram'],['VERB' 'ADP' 'PROPN' 'PUNCT' 'ADJ' 'NOUN' 'PUNCT' 'NOUN' 'PUNCT' 'NOUN'],positive,Neutral,program Java ( previous subject ) database - diagram,"programming in Java ( previous subject ) database -
 diagrams",VERB ADP PROPN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN
14,14,10566,3,,"Vyzkoušeli jsme si Word, Excel,... v praxi",['cs'],"['We' 'tried' 'Word' ',' 'Excel' ',.' '.' '.' 'in?praxi']","['Word' ',' 'Excel' ',.' '.' '.' 'in?praxi']",['PRON' 'VERB' 'PROPN' 'PUNCT' 'PROPN' 'PROPN' 'PUNCT' 'PUNCT' 'NOUN'],negative,Positive,"Word , Excel ,. . . in?praxi","We tried Word , Excel ,. . . in?praxi",PRON VERB PROPN PUNCT PROPN PROPN PUNCT PUNCT NOUN
15,15,10632,23,,Softwarové inženýrství. S některými modely.,['cs'],"['Software' 'engineering' ',' 'some' 'models' '.']","['Software' 'engineering' ',' 'model' '.']",['ADJ' 'NOUN' 'PUNCT' 'DET' 'NOUN' 'PUNCT'],positive,Neutral,"Software engineering , model .","Software engineering , some models .",ADJ NOUN PUNCT DET NOUN PUNCT
16,16,10633,3,,Práce v týmech,['Unknown'],['Teamwork'],['Teamwork'],['NOUN'],na'],Positive,Teamwork,Teamwork,NOUN
17,17,10561,4,,"Teorie mi připadal naprosto neuchopitelná a neuplatnitelná. Kdybychom si alespoň podnikové programy o kterých se mluvilo mohli vyzkoušet, výrazně by to usnadnilo pochopení látky. Pro většinu studentů teorie působila jako nesrozumitelná změť slov.",['Unknown'],"['The' 'theory' 'seemed' 'completely' 'incomprehensible' 'and' 'unusable'
 '.' 'If' 'we' 'could' 'at' 'least' 'try' 'the' 'corporate' 'programs'
 'we' 'talked' 'about' ',' 'it' 'would' 'make' 'it' 'much' 'easier']","['theory' 'completely' 'incomprehensible' 'unusable' '.' 'corporate'
 'program' 'talk' ',' 'make' 'easy']","['DET' 'NOUN' 'VERB' 'ADV' 'ADJ' 'CCONJ' 'ADJ' 'PUNCT' 'SCONJ' 'PRON'
 'AUX' 'ADV' 'ADV' 'VERB' 'DET' 'ADJ' 'NOUN' 'PRON' 'VERB' 'ADP' 'PUNCT'
 'PRON' 'AUX' 'VERB' 'PRON' 'ADV' 'ADJ']",negative,Negative,"theory completely incomprehensible unusable . corporate
 program talk , make easy","The theory seemed completely incomprehensible and unusable
 . If we could at least try the corporate programs
 we talked about , it would make it much easier","DET NOUN VERB ADV ADJ CCONJ ADJ PUNCT SCONJ PRON
 AUX ADV ADV VERB DET ADJ NOUN PRON VERB ADP PUNCT
 PRON AUX VERB PRON ADV ADJ"
18,18,12120,23,,Základy BI jsou i zmíněny v Podnikových informačních systémech.,['cs'],"['The' 'basics' 'of' 'the' 'BI' 'are' 'also' 'mentioned' 'in' 'the'
 'Business' 'Information' 'Systems' '.']",['basic' 'BI' 'mention' 'Business' 'Information' 'Systems' '.'],"['DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'AUX' 'ADV' 'VERB' 'ADP' 'DET' 'NOUN'
 'NOUN' 'NOUN' 'PUNCT']",positive,Neutral,basic BI mention Business Information Systems .,"The basics of the BI are also mentioned in the
 Business Information Systems .","DET NOUN ADP DET NOUN AUX ADV VERB ADP DET NOUN
 NOUN NOUN PUNCT"
19,19,12943,23,,Softwarové inženýrství,['cs'],['Software' 'Engineering'],['Software' 'Engineering'],['NOUN' 'PROPN'],na'],Neutral,Software Engineering,Software Engineering,NOUN PROPN
20,20,12944,3,,"Velký objem látky, který je rozumně a strukturovaně předveden. Zároveň v souladu s literaturou.",['cs'],"['A' 'large' 'volume' 'of' 'substance' ',' 'which' 'is' 'reasonably' 'and'
 'structurally' 'presented' ',' 'in' 'line' 'with' 'literature' '.']","['large' 'volume' 'substance' ',' 'structurally' 'present' ',' 'line'
 'literature' '.']","['DET' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'PRON' 'AUX' 'ADV' 'CCONJ' 'ADV'
 'VERB' 'PUNCT' 'ADP' 'NOUN' 'ADP' 'NOUN' 'PUNCT']",negative,Positive,"large volume substance , structurally present , line
 literature .","A large volume of substance , which is reasonably and
 structurally presented , in line with literature .","DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV CCONJ ADV
 VERB PUNCT ADP NOUN ADP NOUN PUNCT"
23,23,13175,3,,"Předmět byl zajímavý, ale myslím si že Excel není úplně vhodný předmět pro tento obor. Na druhou stranu, bylo zajímavé se s excelem naučit pracovat a už jsem od té doby párkrát využil nějaké tu funkce.",['cs'],"['The' 'subject' 'was' 'interesting' ',' 'but' 'I' 'think' 'Excel' 'is'
 'not' 'quite' 'suitable' 'for' 'this' 'field' '.' 'On' 'the' 'other'
 'hand' ',' 'it' 'was' 'interesting' 'to' 'learn' 'to' 'work' 'with'
 'Excel' 'and' 'I' 'have' 'been' 'since']","['subject' 'interest' ',' 'Excel' 'suitable' 'field' '.' 'hand' ','
 'interest' 'learn' 'work' 'Excel']","['DET' 'NOUN' 'AUX' 'ADJ' 'PUNCT' 'CCONJ' 'PRON' 'VERB' 'PROPN' 'AUX'
 'PART' 'ADV' 'ADJ' 'ADP' 'DET' 'NOUN' 'PUNCT' 'ADP' 'DET' 'ADJ' 'NOUN'
 'PUNCT' 'PRON' 'AUX' 'ADJ' 'PART' 'VERB' 'ADP' 'VERB' 'ADP' 'PROPN'
 'CCONJ' 'PRON' 'AUX' 'AUX' 'ADV']",negative,Positive,"subject interest , Excel suitable field . hand ,
 interest learn work Excel","The subject was interesting , but I think Excel is
 not quite suitable for this field . On the other
 hand , it was interesting to learn to work with
 Excel and I have been since","DET NOUN AUX ADJ PUNCT CCONJ PRON VERB PROPN AUX
 PART ADV ADJ ADP DET NOUN PUNCT ADP DET ADJ NOUN
 PUNCT PRON AUX ADJ PART VERB ADP VERB ADP PROPN
 CCONJ PRON AUX AUX ADV"
24,24,13024,23,,"Základy Business Inteligence, Marketing, Management, Softwarové inženýrství, Databáze.",['cs'],"['Basics' 'Business' 'Intelligence' ',' 'Marketing' ',' 'Management' ','
 'Software' 'Engineering' ',' 'Databases' '.']","['Basics' 'Business' 'Intelligence' ',' 'Marketing' ',' 'Management' ','
 'Software' 'Engineering' ',' 'Databases' '.']","['PROPN' 'PROPN' 'PROPN' 'PUNCT' 'PROPN' 'PUNCT' 'PROPN' 'PUNCT' 'PROPN'
 'PROPN' 'PUNCT' 'PROPN' 'PUNCT']",negative,Neutral,"Basics Business Intelligence , Marketing , Management ,
 Software Engineering , Databases .","Basics Business Intelligence , Marketing , Management ,
 Software Engineering , Databases .","PROPN PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN
 PROPN PUNCT PROPN PUNCT"
25,25,13030,4,,"Změnit čas přednášky. V 7:30 je moc brzy, když máte školu do 19:45.",['cs'],"[""It's"" 'too' 'early' 'to' 'be' 'in' 'school' 'until' '7:45' '.']",['early' 'school' '7:45' '.'],['PRON' 'ADV' 'ADJ' 'PART' 'AUX' 'ADP' 'NOUN' 'ADP' 'NUM' 'PUNCT'],positive,Negative,early school 7:45 .,"Its"" too early to be in school until 7:45 .",PRON ADV ADJ PART AUX ADP NOUN ADP NUM PUNCT
26,26,14205,4,,"More content, better prepared for lectures, better course structure. More instructor led, showing and applying rather than asking and discussing so much.",['en'],"['More' 'content' ',' 'better' 'prepared' 'for' 'lectures' ',' 'better'
 'course' 'structure' '.' 'More' 'instructor' 'led' ',' 'showing' 'and'
 'applying']","['content' ',' 'prepare' 'lecture' ',' 'structure' '.' 'instructor' 'lead'
 ',' 'show' 'apply']","['ADV' 'ADJ' 'PUNCT' 'ADJ' 'VERB' 'ADP' 'NOUN' 'PUNCT' 'ADV' 'ADV' 'NOUN'
 'PUNCT' 'ADJ' 'NOUN' 'VERB' 'PUNCT' 'VERB' 'CCONJ' 'VERB']",negative,Negative,"content , prepare lecture , structure . instructor lead
 , show apply","More content , better prepared for lectures , better
 course structure . More instructor led , showing and
 applying","ADV ADJ PUNCT ADJ VERB ADP NOUN PUNCT ADV ADV NOUN
 PUNCT ADJ NOUN VERB PUNCT VERB CCONJ VERB"
27,27,14209,23,,lots of excel use,['en'],['lots' 'of' 'excel' 'use'],['lot' 'excel'],['NOUN' 'ADP' 'NOUN' 'NOUN'],negative,Neutral,lot excel,lots of excel use,NOUN ADP NOUN NOUN
28,28,14211,3,,Practical use of good-to-know software integrated with a game to add competitive incentive.,['en'],"['Practical' 'use' 'of' 'good-to-know' 'software' 'integrated' 'with' 'a'
 'game' 'to' 'add' 'competitive' 'incentive' 'incentive' '.']","['Practical' 'good-to-know' 'software' 'integrate' 'game' 'add'
 'competitive' 'incentive' 'incentive' '.']","['ADJ' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'VERB' 'ADP' 'DET' 'NOUN' 'PART' 'VERB'
 'NOUN' 'NOUN' 'NOUN' 'PUNCT']",negative,Positive,"Practical good-to-know software integrate game add
 competitive incentive incentive .","Practical use of good-to-know software integrated with a
 game to add competitive incentive incentive .","ADJ NOUN ADP NOUN NOUN VERB ADP DET NOUN PART VERB
 NOUN NOUN NOUN PUNCT"
29,29,13424,23,,No overlap,['es'],['No' 'overlap'],['overlap'],['INTJ' 'NOUN'],negative,Neutral,overlap,No overlap,INTJ NOUN
30,30,13433,4,,"More content, in greater depth for more credits.",['en'],"['More' 'content' ',' 'in' 'Greater' 'depth' 'for' 'more' 'credits' '.']","['content' ',' 'Greater' 'depth' 'credit' '.']",['ADV' 'ADJ' 'PUNCT' 'ADP' 'PROPN' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'PUNCT'],negative,Negative,"content , Greater depth credit .","More content , in Greater depth for more credits .",ADV ADJ PUNCT ADP PROPN NOUN ADP ADJ NOUN PUNCT
31,31,13435,3,,Addressing practical matters and creating tangible works that can have impact.,['en'],"['Addressing' 'practical' 'matters' 'and' 'creating' 'tangible' 'works'
 'that' 'can' 'have' 'impact' '.']",['Addressing' 'practical' 'matter' 'create' 'tangible' 'work' 'impact' '.'],"['VERB' 'ADJ' 'NOUN' 'CCONJ' 'VERB' 'ADJ' 'NOUN' 'PRON' 'AUX' 'VERB'
 'NOUN' 'PUNCT']",positive,Positive,Addressing practical matter create tangible work impact .,"Addressing practical matters and creating tangible works
 that can have impact .","VERB ADJ NOUN CCONJ VERB ADJ NOUN PRON AUX VERB
 NOUN PUNCT"
32,32,15666,4,,"Nejhorší ze všeho bylo vypracovávat si otázky ke zkoušce. Musel jsem kombinovat učebnici, prezentace z přednášek, moje zápisky z přednášek a internet a dělalo se mi to strašně blbě a pomalu. Navíc tam často nesedí slova. Např. v otázce se po nás chce, abychom vysvětlili prvky nějakého systému, ale v učebnici jsou k tomu tématu popsány jenom jakési moduly.     Takže já jsem potom neměl ponětí, jestli je to ono a našel jsem to správně, a nebo mám hledat dále dokud nenajdu prvky.

",['cs'],"['The' 'worst' 'of' 'all' 'was' 'to' 'prepare' 'questions' 'for' 'the'
 'exam' '.' 'I' 'had' 'to' 'combine' 'textbooks' ',' 'presentations'
 'from' 'lectures' ',' 'my' 'lecture' 'notes' 'and' 'the' 'Internet' 'and'
 'I' 'did' 'it' '.']","['bad' 'prepare' 'question' 'exam' '.' 'combine' 'textbook' ','
 'presentation' 'lecture' ',' 'lecture' 'note' 'Internet' '.']","['DET' 'ADJ' 'ADP' 'DET' 'VERB' 'PART' 'VERB' 'NOUN' 'ADP' 'DET' 'NOUN'
 'PUNCT' 'PRON' 'VERB' 'PART' 'VERB' 'NOUN' 'PUNCT' 'NOUN' 'ADP' 'NOUN'
 'PUNCT' 'PRON' 'ADJ' 'NOUN' 'CCONJ' 'DET' 'NOUN' 'CCONJ' 'PRON' 'VERB'
 'PRON' 'PUNCT']",negative,Negative,"bad prepare question exam . combine textbook ,
 presentation lecture , lecture note Internet .","The worst of all was to prepare questions for the
 exam . I had to combine textbooks , presentations
 from lectures , my lecture notes and the Internet and
 I did it .","DET ADJ ADP DET VERB PART VERB NOUN ADP DET NOUN
 PUNCT PRON VERB PART VERB NOUN PUNCT NOUN ADP NOUN
 PUNCT PRON ADJ NOUN CCONJ DET NOUN CCONJ PRON VERB
 PRON PUNCT"
33,33,15671,3,,"Cvičení bylo fajn, bylo to intenzivní a za krátkou dobu jsme se naučili dost věcí ve wordu a v excelu.

Přednášky jsem jako jeden z mála absolvoval úplně všechny a nelíbilo se mi, že je to moc teoretické. Většina výkladu (i v knížce, kterou jsem taky četl) je dělána tak, že se akorát jedna teorie popisuje jinou teorií a v každé větě je několik odborných výrazů, které všechny mají svůj význam a než to vůbec pochopím, tak už se zase mluví o něčem jiném.

Z přednášek se strašně blbě dělají zápisy. Každý slide je plný textů, informací, obrázků atd. a nejde poznat, co z toho je to nejdůležitější sdělení nebo jak si to vůbec poznamenat.

",['cs'],"['Exercise' 'was' 'good' ',' 'it' 'was' 'intense' 'and' 'in' 'a' 'short'
 'time' 'we' 'learned' 'a' 'lot' 'of' 'things' 'in' 'word' 'and' 'excel'
 '.' 'I' 'lectured' 'as' 'one' 'of' 'the' 'few' 'I' 'attended']","['Exercise' 'good' ',' 'intense' 'short' 'time' 'learn' 'lot' 'thing'
 'word' 'excel' '.' 'lecture' 'attend']","['PROPN' 'AUX' 'ADJ' 'PUNCT' 'PRON' 'AUX' 'ADJ' 'CCONJ' 'ADP' 'DET' 'ADJ'
 'NOUN' 'PRON' 'VERB' 'DET' 'NOUN' 'ADP' 'NOUN' 'ADP' 'NOUN' 'CCONJ'
 'NOUN' 'PUNCT' 'PRON' 'VERB' 'ADP' 'NUM' 'ADP' 'DET' 'ADJ' 'PRON' 'VERB']",positive,Positive,"Exercise good , intense short time learn lot thing
 word excel . lecture attend","Exercise was good , it was intense and in a short
 time we learned a lot of things in word and excel
 . I lectured as one of the few I attended","PROPN AUX ADJ PUNCT PRON AUX ADJ CCONJ ADP DET ADJ
 NOUN PRON VERB DET NOUN ADP NOUN ADP NOUN CCONJ
 NOUN PUNCT PRON VERB ADP NUM ADP DET ADJ PRON VERB"
35,35,17201,4,,Probírat některé věci více podrobně a ukázat k nim více praktických příkladů,['cs'],"['Discuss' 'some' 'things' 'more' 'closely' 'and' 'show' 'them' 'more'
 'practical' 'examples']",['Discuss' 'thing' 'closely' 'show' 'practical' 'example'],['VERB' 'DET' 'NOUN' 'ADV' 'ADV' 'CCONJ' 'VERB' 'PRON' 'ADV' 'ADJ' 'NOUN'],positive,Negative,Discuss thing closely show practical example,"Discuss some things more closely and show them more
 practical examples",VERB DET NOUN ADV ADV CCONJ VERB PRON ADV ADJ NOUN
36,36,17207,3,,Předmět je s i minimální přípravou v celku jednoduchý ,['cs'],"['The' 'subject' 'is' 'with' 'even' 'minimal' 'preparation' 'in' 'whole'
 'simple']",['subject' 'minimal' 'preparation' 'simple'],['DET' 'NOUN' 'AUX' 'ADP' 'ADV' 'ADJ' 'NOUN' 'ADP' 'ADJ' 'ADJ'],negative,Positive,subject minimal preparation simple,"The subject is with even minimal preparation in whole
 simple",DET NOUN AUX ADP ADV ADJ NOUN ADP ADJ ADJ
37,37,18034,4,,"Poutavější výklad, praktické využití",['cs'],"['More' 'engaging' 'interpretation' ',' 'practical' 'use']","['engage' 'interpretation' ',' 'practical']",['ADV' 'ADJ' 'NOUN' 'PUNCT' 'ADJ' 'NOUN'],negative,Negative,"engage interpretation , practical","More engaging interpretation , practical use",ADV ADJ NOUN PUNCT ADJ NOUN
38,38,18146,4,,"Více řešit příklady na cvičeních, ukazovat step by step jak se k výsledku došlo, brát ohled na pomalejší studenty.",['cs'],"['More' 'solve' 'examples' 'on' 'exercises' ',' 'show' 'step' 'by' 'step'
 'as' 'the' 'result' 'occurred' ',' 'consider' 'slower' 'students' '.']","['solve' 'example' 'exercise' ',' 'show' 'step' 'step' 'result' 'occur'
 ',' 'slow' 'student' '.']","['ADV' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'VERB' 'NOUN' 'ADP' 'NOUN' 'ADP'
 'DET' 'NOUN' 'VERB' 'PUNCT' 'VERB' 'ADJ' 'NOUN' 'PUNCT']",positive,Negative,"solve example exercise , show step step result occur
 , slow student .","More solve examples on exercises , show step by step
 as the result occurred , consider slower students .","ADV ADJ NOUN ADP NOUN PUNCT VERB NOUN ADP NOUN ADP
 DET NOUN VERB PUNCT VERB ADJ NOUN PUNCT"
39,39,18152,3,,"Nerada pracuji v Excelu, takže se mi toho moc nelíbilo, ale vzhledem k tomu, že je Excel hojně využívaný nástroj, tak bylo přínosné se naučit s ním efektivně pracovat a ovládnout prvky usnadňující práci v něm. ",['cs'],"['I' 'hate' 'working' 'in' 'Excel' ',' 'so' 'I' ""didn't"" 'like' 'it'
 'very' 'much' ',' 'but' 'since' 'Excel' 'is' 'a' 'widely' 'used' 'tool'
 ',' 'it' 'was' 'beneficial' 'to']","['hate' 'work' 'Excel' ',' ',' 'Excel' 'widely' 'tool' ',' 'beneficial']","['PRON' 'VERB' 'VERB' 'ADP' 'PROPN' 'PUNCT' 'ADV' 'PRON' 'VERB' 'SCONJ'
 'PRON' 'ADV' 'ADV' 'PUNCT' 'CCONJ' 'SCONJ' 'PROPN' 'AUX' 'DET' 'ADV'
 'ADJ' 'NOUN' 'PUNCT' 'PRON' 'AUX' 'ADJ' 'PART']",negative,Positive,"hate work Excel , , Excel widely tool , beneficial","I hate working in Excel , so I ""didnt"" like it
 very much , but since Excel is a widely used tool
 , it was beneficial to","PRON VERB VERB ADP PROPN PUNCT ADV PRON VERB SCONJ
 PRON ADV ADV PUNCT CCONJ SCONJ PROPN AUX DET ADV
 ADJ NOUN PUNCT PRON AUX ADJ PART"
